project_id,group_id,number_of_tasks,finished_count,required_count,project_type_specifics
5519,206,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122919"", ""yMin"": ""122917"", ""zoomLevel"": 18}"
5519,253,48,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119303"", ""yMax"": ""122883"", ""yMin"": ""122881"", ""zoomLevel"": 18}"
5519,255,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122883"", ""yMin"": ""122881"", ""zoomLevel"": 18}"
5519,177,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119240"", ""yMax"": ""122940"", ""yMin"": ""122938"", ""zoomLevel"": 18}"
5519,209,141,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119272"", ""yMax"": ""122916"", ""yMin"": ""122914"", ""zoomLevel"": 18}"
5519,233,91,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119290"", ""yMax"": ""122898"", ""yMin"": ""122896"", ""zoomLevel"": 18}"
5519,166,243,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122949"", ""yMin"": ""122947"", ""zoomLevel"": 18}"
5519,155,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122958"", ""yMin"": ""122956"", ""zoomLevel"": 18}"
5519,192,50,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119496"", ""xMin"": ""119480"", ""yMax"": ""122931"", ""yMin"": ""122929"", ""zoomLevel"": 18}"
5519,279,176,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119459"", ""xMin"": ""119400"", ""yMax"": ""122865"", ""yMin"": ""122863"", ""zoomLevel"": 18}"
5519,152,90,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119509"", ""xMin"": ""119480"", ""yMax"": ""122961"", ""yMin"": ""122959"", ""zoomLevel"": 18}"
5519,231,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122901"", ""yMin"": ""122899"", ""zoomLevel"": 18}"
5519,274,219,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119328"", ""yMax"": ""122868"", ""yMin"": ""122866"", ""zoomLevel"": 18}"
5519,199,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122925"", ""yMin"": ""122923"", ""zoomLevel"": 18}"
5519,144,90,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119509"", ""xMin"": ""119480"", ""yMax"": ""122967"", ""yMin"": ""122965"", ""zoomLevel"": 18}"
5519,159,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122955"", ""yMin"": ""122953"", ""zoomLevel"": 18}"
5519,237,86,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119292"", ""yMax"": ""122895"", ""yMin"": ""122893"", ""zoomLevel"": 18}"
5519,263,227,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119476"", ""xMin"": ""119400"", ""yMax"": ""122877"", ""yMin"": ""122875"", ""zoomLevel"": 18}"
5519,256,13,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119485"", ""xMin"": ""119480"", ""yMax"": ""122883"", ""yMin"": ""122881"", ""zoomLevel"": 18}"
5519,196,51,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119496"", ""xMin"": ""119480"", ""yMax"": ""122928"", ""yMin"": ""122926"", ""zoomLevel"": 18}"
5519,228,43,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119494"", ""xMin"": ""119480"", ""yMax"": ""122904"", ""yMin"": ""122902"", ""zoomLevel"": 18}"
5519,188,48,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119495"", ""xMin"": ""119480"", ""yMax"": ""122934"", ""yMin"": ""122932"", ""zoomLevel"": 18}"
5519,148,90,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119509"", ""xMin"": ""119480"", ""yMax"": ""122964"", ""yMin"": ""122962"", ""zoomLevel"": 18}"
5519,138,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122970"", ""yMin"": ""122968"", ""zoomLevel"": 18}"
5519,270,227,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119324"", ""yMax"": ""122871"", ""yMin"": ""122869"", ""zoomLevel"": 18}"
5519,202,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122922"", ""yMin"": ""122920"", ""zoomLevel"": 18}"
5519,213,123,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119278"", ""yMax"": ""122913"", ""yMin"": ""122911"", ""zoomLevel"": 18}"
5519,248,30,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119489"", ""xMin"": ""119480"", ""yMax"": ""122889"", ""yMin"": ""122887"", ""zoomLevel"": 18}"
5519,259,239,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122880"", ""yMin"": ""122878"", ""zoomLevel"": 18}"
5519,127,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122979"", ""yMin"": ""122977"", ""zoomLevel"": 18}"
5519,106,200,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119395"", ""xMin"": ""119320"", ""yMax"": ""122994"", ""yMin"": ""122992"", ""zoomLevel"": 18}"
5519,219,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122910"", ""yMin"": ""122908"", ""zoomLevel"": 18}"
5519,252,24,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119488"", ""xMin"": ""119480"", ""yMax"": ""122886"", ""yMin"": ""122884"", ""zoomLevel"": 18}"
5519,241,82,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119293"", ""yMax"": ""122892"", ""yMin"": ""122890"", ""zoomLevel"": 18}"
5519,185,228,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119244"", ""yMax"": ""122934"", ""yMin"": ""122932"", ""zoomLevel"": 18}"
5519,137,183,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119259"", ""yMax"": ""122970"", ""yMin"": ""122968"", ""zoomLevel"": 18}"
5519,234,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122898"", ""yMin"": ""122896"", ""zoomLevel"": 18}"
5519,286,70,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119358"", ""xMin"": ""119330"", ""yMax"": ""122859"", ""yMin"": ""122857"", ""zoomLevel"": 18}"
5519,126,243,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122979"", ""yMin"": ""122977"", ""zoomLevel"": 18}"
5519,140,90,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119509"", ""xMin"": ""119480"", ""yMax"": ""122970"", ""yMin"": ""122968"", ""zoomLevel"": 18}"
5519,180,48,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119495"", ""xMin"": ""119480"", ""yMax"": ""122940"", ""yMin"": ""122938"", ""zoomLevel"": 18}"
5519,208,51,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119496"", ""xMin"": ""119480"", ""yMax"": ""122919"", ""yMin"": ""122917"", ""zoomLevel"": 18}"
5519,221,102,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119287"", ""yMax"": ""122907"", ""yMin"": ""122905"", ""zoomLevel"": 18}"
5519,290,15,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119341"", ""xMin"": ""119331"", ""yMax"": ""122856"", ""yMin"": ""122855"", ""zoomLevel"": 18}"
5519,133,172,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119262"", ""yMax"": ""122973"", ""yMin"": ""122971"", ""zoomLevel"": 18}"
5519,122,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122982"", ""yMin"": ""122980"", ""zoomLevel"": 18}"
5519,111,42,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119422"", ""xMin"": ""119400"", ""yMax"": ""122991"", ""yMin"": ""122989"", ""zoomLevel"": 18}"
5519,230,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122901"", ""yMin"": ""122899"", ""zoomLevel"": 18}"
5519,173,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119240"", ""yMax"": ""122943"", ""yMin"": ""122941"", ""zoomLevel"": 18}"
5519,278,206,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119329"", ""yMax"": ""122865"", ""yMin"": ""122863"", ""zoomLevel"": 18}"
5519,162,243,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119400"", ""xMin"": ""119320"", ""yMax"": ""122952"", ""yMin"": ""122950"", ""zoomLevel"": 18}"
5519,267,214,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119472"", ""xMin"": ""119400"", ""yMax"": ""122874"", ""yMin"": ""122872"", ""zoomLevel"": 18}"
5519,245,78,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119294"", ""yMax"": ""122889"", ""yMin"": ""122887"", ""zoomLevel"": 18}"
5519,191,243,12,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122931"", ""yMin"": ""122929"", ""zoomLevel"": 18}"
5519,102,117,10,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119367"", ""xMin"": ""119320"", ""yMax"": ""122997"", ""yMin"": ""122995"", ""zoomLevel"": 18}"
5519,257,30,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119309"", ""yMax"": ""122880"", ""yMin"": ""122878"", ""zoomLevel"": 18}"
5519,184,48,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119495"", ""xMin"": ""119480"", ""yMax"": ""122937"", ""yMin"": ""122935"", ""zoomLevel"": 18}"
5519,151,243,9,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119480"", ""xMin"": ""119400"", ""yMax"": ""122961"", ""yMin"": ""122959"", ""zoomLevel"": 18}"
5519,225,98,8,3,"{""distributedCount"": 0, ""reportCount"": 0, ""xMax"": ""119320"", ""xMin"": ""119288"", ""yMax"": ""122904"", ""yMin"": ""122902"", ""zoomLevel"": 18}"
