project_id,task_id,user_id,timeint,info
5519,18-119258-122928,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906126023,"{""device"" : """", ""item"" : """", ""result"" : 1, ""wkt"" : ""POLYGON ((-16.22406005859375 11.113727282172746 0,-16.222686767578125 11.113727282172746 0,-16.222686767578125 11.112379742043416 0,-16.22406005859375 11.112379742043416 0,-16.22406005859375 11.113727282172746 0))""}"
5519,18-119259-122926,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906126011,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.222686767578125 11.116422343753484 0,-16.2213134765625 11.116422343753484 0,-16.2213134765625 11.11507481607633 0,-16.222686767578125 11.11507481607633 0,-16.222686767578125 11.116422343753484 0))""}"
5519,18-119259-122927,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906126010,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.222686767578125 11.11507481607633 0,-16.2213134765625 11.11507481607633 0,-16.2213134765625 11.113727282172746 0,-16.222686767578125 11.113727282172746 0,-16.222686767578125 11.11507481607633 0))""}"
5519,18-119259-122956,OIs5DBrNKwOirgZDs6lIq0IeEz22,1490965283558,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.222686767578125 11.075993807840774 0,-16.2213134765625 11.075993807840774 0,-16.2213134765625 11.074646093681736 0,-16.222686767578125 11.074646093681736 0,-16.222686767578125 11.075993807840774 0))""}"
5519,18-119259-122956,RW9Z6uPMnLO9pcEkQKzWSNW5Hay2,1491048453681,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.222686767578125 11.075993807840774 0,-16.2213134765625 11.075993807840774 0,-16.2213134765625 11.074646093681736 0,-16.222686767578125 11.074646093681736 0,-16.222686767578125 11.075993807840774 0))""}"
5519,18-119260-122922,TmSrf4dJ4nVRqoQYTI2S4nKFgjH3,1491032404107,"{""device"" : """", ""item"" : """", ""result"" : 3, ""wkt"" : ""POLYGON ((-16.2213134765625 11.121812392183131 0,-16.219940185546875 11.121812392183131 0,-16.219940185546875 11.120464889418983 0,-16.2213134765625 11.120464889418983 0,-16.2213134765625 11.121812392183131 0))""}"
5519,18-119260-122926,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906126058,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.2213134765625 11.116422343753484 0,-16.219940185546875 11.116422343753484 0,-16.219940185546875 11.11507481607633 0,-16.2213134765625 11.11507481607633 0,-16.2213134765625 11.116422343753484 0))""}"
5519,18-119260-122927,tm1inpklFFbH5oUyIka5SSbMLYr2,1490906126045,"{""device"" : """", ""item"" : """", ""result"" : 2, ""wkt"" : ""POLYGON ((-16.2213134765625 11.11507481607633 0,-16.219940185546875 11.11507481607633 0,-16.219940185546875 11.113727282172746 0,-16.2213134765625 11.113727282172746 0,-16.2213134765625 11.11507481607633 0))""}"
5519,18-119260-122952,0ZJRdNMjjuPhMRMAa5QUdPDMSG73,1491048765183,"{""device"" : """", ""item"" : """", ""result"" : 1, ""wkt"" : ""POLYGON ((-16.2213134765625 11.081384602413053 0,-16.219940185546875 11.081384602413053 0,-16.219940185546875 11.080036913080988 0,-16.2213134765625 11.080036913080988 0,-16.2213134765625 11.081384602413053 0))""}"
5519,18-119260-122952,3NxnhKpWaoMnhdjCt160XSMOsXu2,1490933101058,"{""device"" : """", ""item"" : """", ""result"" : 1, ""wkt"" : ""POLYGON ((-16.2213134765625 11.081384602413053 0,-16.219940185546875 11.081384602413053 0,-16.219940185546875 11.080036913080988 0,-16.2213134765625 11.080036913080988 0,-16.2213134765625 11.081384602413053 0))""}"
